SAT.Earth.ECC;SAT.ElapsedSecs;SAT.EarthMJ2000Eq.RA;SAT.Earth.TA;SAT.EarthMJ2000Eq.RAAN;SAT.EarthMJ2000Eq.INC;SAT.EarthMJ2000Eq.AOP;SAT.EarthICRF.AOP;SAT.EarthICRF.INC;SAT.EarthICRF.RAAN;SAT.EarthICRF.RA;
0.150025493;7787.582383;-157.5325828;167.0271016;34.70270299;4.999058944;0.692308694;0.692447227;4.999054286;34.70256506;-157.5325827;
0.150014612;7959.42957;-152.0781469;172.523041;34.70249265;4.999164786;0.670669713;0.670808243;4.999160127;34.70235472;-152.0781468;
0.150009165;8132.279312;-146.6167809;178.0271366;34.70245324;4.999205587;0.648593419;0.648731947;4.999200929;34.70231531;-146.6167809;
0.150009222;8305.720127;-141.1432715;183.5437695;34.70243958;4.999179382;0.626326991;0.626465519;4.999174724;34.70230165;-141.1432714;
0.150014881;8479.326224;-135.6524738;189.07723;34.70230341;4.999086189;0.604126746;0.604265277;4.999081531;34.70216548;-135.6524736;
0.15002627;8652.667384;-130.1393003;194.6317453;34.70189647;4.998928066;0.582259346;0.582397881;4.998923408;34.70175853;-130.1393001;
0.150043534;8825.310312;-124.5989961;200.2112218;34.70107398;4.998709162;0.561003533;0.561142075;4.998704505;34.70093603;-124.5989957;
0.15006683;8996.836441;-119.026894;205.8195104;34.69969837;4.998435727;0.540649026;0.540787577;4.998431069;34.69956042;-119.0268936;
0.150096315;9166.837447;-113.4188829;211.4599572;34.69764352;4.9981161;0.521497086;0.521635646;4.998111443;34.69750556;-113.4188824;
0.150132129;9334.932204;-107.7711723;217.1356619;34.69479926;4.997760628;0.503857156;0.503995729;4.997755972;34.69466128;-107.7711716;
0.15017438;9500.769254;-102.0805013;222.8492899;34.69107625;4.997381519;0.488043774;0.488182361;4.997376863;34.69093826;-102.0805006;
0.150223128;9664.029772;-96.34431258;228.6029208;34.68641113;4.996992602;0.474371661;0.474510263;4.996987948;34.68627313;-96.34431171;
0.150278365;9824.437671;-90.56063643;234.3981843;34.68077134;4.996608971;0.46314862;0.463287237;4.996604318;34.68063332;-90.56063546;
0.150339996;9981.762374;-84.72816954;240.2361996;34.67415947;4.996246501;0.454667974;0.454806607;4.996241849;34.67402143;-84.72816849;
0.150407822;10135.81792;-78.84643782;246.1174246;34.66661692;4.995921263;0.449200335;0.449338984;4.995916613;34.66647887;-78.84643671;
0.150481529;10286.47225;-72.91550934;252.0419502;34.65822553;4.9956488;0.446984868;0.447123531;4.995644152;34.65808746;-72.9155082;
0.150560673;10433.63798;-66.93634303;258.0091495;34.64910817;4.995443351;0.448222021;0.448360699;4.995438705;34.64897009;-66.93634187;
0.150644673;10577.28023;-60.91041144;264.0180436;34.63942604;4.995317008;0.453067331;0.45320602;4.995312365;34.63928795;-60.91041028;
0.150732807;10717.4077;-54.83992741;270.0670551;34.62937444;4.995278905;0.461627529;0.461766229;4.995274263;34.62923634;-54.83992628;
0.150787441;10800;-51.16917832;273.7230644;34.62324391;4.995300915;0.468589381;0.468728086;4.995296275;34.6231058;-51.16917723;
0.150828286;10860;-48.45816241;276.4224809;34.6187274;4.99533909;0.474587646;0.474726354;4.995334451;34.61858929;-48.45816134;
0.150913332;10981.0262;-42.873784;281.9814074;34.60954827;4.995475427;0.489206826;0.489345539;4.99547079;34.60941015;-42.87378301;
0.151006974;11109.71583;-36.76272279;288.0628525;34.59986696;4.995709388;0.508622356;0.50876107;4.995704753;34.59972884;-36.7627219;
0.151101513;11236.67445;-30.55726893;294.2371519;34.5906401;4.996028368;0.531868771;0.532007486;4.996023735;34.59050198;-30.55726814;
0.151194709;11360.87888;-24.31740583;300.44535;34.58217727;4.996417952;0.558674921;0.558813632;4.996413321;34.58203916;-24.31740516;
0.151284963;11482.38558;-18.05464377;306.6766426;34.5746735;4.99686043;0.588853999;0.588992705;4.996855801;34.57453539;-18.05464323;
0.151370696;11601.39695;-11.77451664;312.9260405;34.56826804;4.997334611;0.62219934;0.622338038;4.997329983;34.56812994;-11.77451622;
0.151450299;11718.14565;-5.481788435;319.1891679;34.56304248;4.997816616;0.658468217;0.658606906;4.997811989;34.56290439;-5.481788125;
0.151522173;11832.87738;0.818940425;325.4616502;34.55901413;4.998281076;0.697378893;0.697517573;4.99827645;34.55887605;0.818940636;
0.151584787;11945.84861;7.123337931;331.7392214;34.556132;4.998702573;0.738611077;0.738749748;4.998697947;34.55599392;7.123338062;
0.151636742;12057.32574;13.42747933;338.0178763;34.5542771;4.999057176;0.781807895;0.781946557;4.999052551;34.55413904;13.4274794;
0.151676828;12167.57816;19.72760925;344.2936557;34.55326748;4.999323983;0.826576897;0.826715553;4.999319358;34.55312943;19.7276093;
0.151704095;12276.88258;26.02048885;350.5630209;34.55286781;4.999486562;0.872496843;0.872635495;4.999481937;34.55272976;26.02048889;
0.151717893;12385.51709;32.30313513;356.8226268;34.55280348;4.999534134;0.919122012;0.919260662;4.99952951;34.55266543;32.30313519;
0.15171792;12493.76109;38.57285703;3.06939093;34.55277814;4.999462394;0.96599007;0.966128722;4.99945777;34.55264008;38.57285713;
0.151704231;12601.89776;44.82742218;9.300693053;34.55249341;4.999273863;1.012632331;1.012770987;4.999269239;34.55235535;44.82742236;
0.151677249;12710.20425;51.0644983;15.51384783;34.55166901;4.998977735;1.058579686;1.058718352;4.998973111;34.55153094;51.06449856;
0.151637737;12818.95592;57.28190191;21.7063789;34.55006153;4.998589206;1.103375425;1.103514103;4.998584583;34.54992345;57.28190228;
0.15158676;12928.42198;63.47736719;27.87581;34.54748012;4.998128358;1.146584733;1.146723426;4.998123735;34.54734202;63.47736768;
0.151525629;13038.86601;69.64860472;34.01974044;34.54379753;4.997618686;1.187805677;1.187944387;4.997614064;34.54365942;69.64860533;
0.151455828;13150.54372;75.79322727;40.13578366;34.53895584;4.997085443;1.22667753;1.226816259;4.997080822;34.53881771;75.793228;
0.151378939;13263.70072;81.90870618;46.2215318;34.5329665;4.996553958;1.262886762;1.263025511;4.996549338;34.53282835;81.90870703;
0.151296568;13378.57055;87.992372;52.27455977;34.52590526;4.996048081;1.29617026;1.296309029;4.996043463;34.52576709;87.99237294;
0.151210272;13495.38113;94.04187999;58.29288645;34.51790222;4.995588846;1.326317717;1.326456507;4.995584229;34.51776403;94.04188102;
0.151121518;13614.34357;100.0547572;64.27451607;34.5091301;4.995193554;1.353166357;1.353305165;4.995188939;34.50899189;100.0547583;
0.15103164;13735.65786;106.028857;70.21787644;34.49979012;4.994875163;1.376599043;1.376737869;4.994870551;34.4996519;106.0288582;
0.150941823;13859.51012;111.9623736;76.12181207;34.4900983;4.994642076;1.396539447;1.396678288;4.994637466;34.48996006;111.9623747;
0.1508531;13986.07415;117.8540613;81.98577702;34.48027259;4.994498235;1.412948478;1.413087331;4.994493627;34.48013434;117.8540624;
0.15076636;14115.51005;123.7033019;87.80987135;34.47052218;4.994443473;1.425821038;1.425959901;4.994438867;34.47038391;123.703303;
0.150682367;14247.95133;129.5096643;93.59437058;34.4610398;4.99447403;1.43518331;1.435322181;4.994469426;34.46090153;129.5096654;
0.150601766;14383.5194;135.2736935;99.34047959;34.45199445;4.994583142;1.441093628;1.441232504;4.99457854;34.45185617;135.2736945;
0.150525109;14522.30627;140.9962666;105.0496622;34.44352843;4.99476168;1.443640903;1.443779781;4.99475708;34.44339015;140.9962675;
0.150452862;14664.37565;146.6787847;110.7238062;34.43575493;4.994998757;1.442944869;1.443083748;4.994994158;34.43561665;146.6787856;
0.150385416;14809.76298;152.3232755;116.3653068;34.42875719;4.995282306;1.439155158;1.439294035;4.995277709;34.42861892;152.3232763;
0.150323095;14958.46331;157.9320193;121.9766787;34.42258942;4.995599575;1.432449826;1.4325887;4.99559498;34.42245115;157.9320199;
0.150266156;15110.43799;163.5078953;127.5608946;34.41727749;4.995937591;1.423032621;1.42317149;4.995932997;34.41713922;163.5078958;
0.150214803;15265.60326;169.0540126;133.1210136;34.41282112;4.99628352;1.411130004;1.411268868;4.996278927;34.41268286;169.054013;
0.150169179;15423.83455;174.5739095;138.6603841;34.40919568;4.996624998;1.396986919;1.397125776;4.996620406;34.40905743;174.5739098;
0.150129381;15584.96438;-179.9285243;144.1825725;34.40635459;4.996950398;1.380862523;1.381001373;4.996945806;34.40621634;-179.9285241;
0.150095459;15748.78093;-174.449131;149.6912913;34.40423167;4.997249037;1.363026092;1.363164935;4.997244446;34.40409343;-174.4491309;
0.150067426;15915.03315;-168.9833831;155.1905133;34.4027435;4.997511364;1.343752634;1.343891471;4.997506773;34.40260527;-168.983383;
0.150045269;16083.42643;-163.5266385;160.6842309;34.4017918;4.997729087;1.32332019;1.323459021;4.997724496;34.40165357;-163.5266385;
0.150028949;16253.63245;-158.0739627;166.1766511;34.40126561;4.997895304;1.302006313;1.302145141;4.997890714;34.40112738;-158.0739626;
0.150018418;16425.29064;-152.6202709;171.6720695;34.40104352;4.998004598;1.280086349;1.280225173;4.998000008;34.40090529;-152.6202708;
0.150013624;16598.01358;-147.1603743;177.1748412;34.4009958;4.998053125;1.257832094;1.257970916;4.998048535;34.40085758;-147.1603743;
0.150014517;16771.39014;-141.6891307;182.689248;34.40098656;4.998038699;1.235511532;1.235650354;4.998034109;34.40084834;-141.6891306;
